Category:,Seal,,,,,,,,
"Size, mm",Name,Manufacturer,Direction,Material,Replacer,Wiki,Website,Website lang,Image
33x49x8,19036249B,Corteco,Right,FPM,-,http://ecatcorteco.com/web/corteco/en_GB/$catalogue/140/$product/19036249B_572/datasheet.xhtml,-,-,https://drive.google.com/open?id=1X3avzSuhx3BdREAC6WXe_mUFPlexPCay
33x49x8,S4888,Musashi,Right,-,-,-,-,-,-
33x50x10,12011141B,Corteco,-,NBR,-,http://ecatcorteco.com/web/corteco/en_GB/$catalogue/140/$product/12011141B_2048/datasheet.xhtml,-,-,https://ecatcorteco.com/pim/upload/cortecoImages/image/web/basl_bmp.png
33x50x6,12011140B,Corteco,-,NBR,-,http://ecatcorteco.com/web/corteco/en_GB/$catalogue/140/$product/12011140B_2048/datasheet.xhtml,-,-,https://ecatcorteco.com/pim/upload/cortecoImages/image/web/basl_bmp.png
33x50x8,46081196B,Corteco,-,NBR,-,http://ecatcorteco.com/web/corteco/en_GB/$catalogue/140/$product/46081196B_630/datasheet.xhtml,-,-,https://ecatcorteco.com/pim/upload/cortecoImages/image/web/basl_bmp.png
34x49.3x9.5,BMW 33213038278,BMW,Bidirectional,-,-,-,-,-,-
35.4x48.1x8.5,6204157,USSR,Bidirectional,-,12000792B; 2012018755; 36781; 880636841,-,-,-,-
35.4x48.1x8.5,7204157,USSR,Bidirectional,-,12000792B; 2012018755; 36781; 880636841,-,-,-,-
35x48x7,36781,DPH,Right,-,-,-,-,-,-
35x48x7,2012018755,Hans Pries,Right,-,-,-,-,-,-
35x48x7,880636841,Jp Group,Right,-,-,-,-,-,-
36x48x10,12000792B,Corteco,Right,ACM,-,http://ecatcorteco.com/web/corteco/en_GB/$catalogue/140/$product/12000792B_624/datasheet.xhtml,-,-,https://ecatcorteco.com/pim/upload/cortecoImages/image/web/bard_bmp.png
4.4x10.3x8,MT803605,USSR,-,Oil-resistant rubber,-,-,-,-,https://drive.google.com/open?id=1zCxYSYAd6hCALrO3EV_oK_dwKa_0JmZ_
43.5x93x11,BMW 2061660070,BMW,Bidirectional,Oil-resistant rubber,-,-,-,-,https://drive.google.com/open?id=1vx1iIFIHP1hzz7C2XrEHF8FUS3A4_dtI
43.5x93x11,BMW 26113004370,BMW,Bidirectional,Oil-resistant rubber,-,-,-,-,https://drive.google.com/open?id=1MoL0qYfiL6sduazcfSTVd3CUxPQSIlUE
43.5x93x11,Moto-Boxer 43.5x93x11,Moto-Boxer,Bidirectional,FPM,-,-,https://moto-boxer.com/product_info.php?products_id=3063,-,https://moto-boxer.com/images/P1070463.JPG
43.5x93x11,7205113,USSR,Bidirectional,Oil-resistant rubber,Moto-Boxer 43.5x93x11; BMW 26113004370; BMW 2061660070; 12013433B (Outer diameter 58 mm); 19019079B (Outer diameter 58 mm); 19016629B (Outer diameter 59 mm); 19033642B (Outer diameter 60 mm); 12017052B (Outer diameter 60 mm); 01035171B (Outer diameter 60 mm); 12012810B (Outer diameter 60 mm); 12017270B (Outer diameter 60 mm); 01031705B (Outer diameter 60 mm); 12036368B (Outer diameter 60 mm); 12012128B (Outer diameter 60.33 mm),-,-,-,https://drive.google.com/open?id=1gy2Wcm4qSTXHfQJsnl9s4FLlohq0YGBH
44.45x60.33x9.5,12012128B,Corteco,-,NBR,-,http://ecatcorteco.com/web/corteco/en_GB/$catalogue/140/$product/12012128B_656/datasheet.xhtml,-,-,https://ecatcorteco.com/pim/upload/cortecoImages/image/web/basl_bmp.png
44.45x60x7,01031705B,Corteco,-,NBR,-,http://ecatcorteco.com/web/corteco/en_GB/$catalogue/140/$product/01031705B_1744/datasheet.xhtml,-,-,https://ecatcorteco.com/pim/upload/cortecoImages/image/web/b1slx4_bmp.png
44.47x60x8,12036368B,Corteco,-,ACM,-,http://ecatcorteco.com/web/corteco/en_GB/$catalogue/140/$product/12036368B_633/datasheet.xhtml,-,-,https://ecatcorteco.com/pim/upload/cortecoImages/image/web/basldrw_bmp.png
45x58x7,12013433B,Corteco,-,NBR,-,http://ecatcorteco.com/web/corteco/en_GB/$catalogue/140/$product/12013433B_2048/datasheet.xhtml,-,-,https://ecatcorteco.com/pim/upload/cortecoImages/image/web/basl_bmp.png
45x58x9,19019079B,Corteco,-,NBR,-,http://ecatcorteco.com/web/corteco/en_GB/$catalogue/140/$product/19019079B_630/datasheet.xhtml,-,-,https://ecatcorteco.com/pim/upload/cortecoImages/image/web/tb2_bmp.png
45x59x8,19016629B,Corteco,Bidirectional,NBR,-,http://ecatcorteco.com/web/corteco/en_GB/$catalogue/140/$product/19016629B_656/keywords.xhtml?result=1579790981417,-,-,https://drive.google.com/open?id=1tdqP5zFrdKKrlb_jtbCvREm0SJ4Re6Lb
45x60x10/15,01035171B,Corteco,-,ACM,-,http://ecatcorteco.com/web/corteco/en_GB/$catalogue/140/$product/01035171B_630/datasheet.xhtml,-,-,https://ecatcorteco.com/pim/upload/cortecoImages/image/web/baslsfdrwx7_bmp.png
45x60x7,12012810B,Corteco,-,ACM,-,http://ecatcorteco.com/web/corteco/en_GB/$catalogue/140/$product/12012810B_656/datasheet.xhtml,-,-,https://ecatcorteco.com/pim/upload/cortecoImages/image/web/basldrwx7_bmp.png
45x60x7,12017052B,Corteco,-,NBR,-,http://ecatcorteco.com/web/corteco/en_GB/$catalogue/140/$product/12017052B_656/datasheet.xhtml,-,-,https://ecatcorteco.com/pim/upload/cortecoImages/image/web/basldrwx7_bmp.png
45x60x8,12017270B,Corteco,-,ACM,-,http://ecatcorteco.com/web/corteco/en_GB/$catalogue/140/$product/12017270B_656/datasheet.xhtml,-,-,https://ecatcorteco.com/pim/upload/cortecoImages/image/web/basldrwx67_bmp.png
45x60x9,19033642B,Corteco,-,NBR,-,http://ecatcorteco.com/web/corteco/en_GB/$catalogue/140/$product/19033642B_2048/datasheet.xhtml,-,-,https://ecatcorteco.com/pim/upload/cortecoImages/image/web/tb2_bmp.png
50x65x5.5,7201142,USSR,Bidirectional,Felt,01030104B (crankshaft rear bearing housing mashining); 01014252B (crankshaft rear bearing housing mashining); 7201191 (crankshaft rear bearing housing mashining),-,-,-,https://drive.google.com/open?id=16g4Yr1Q4aIYexP2tqYp09XAqSLNSBsSg
50x65x8,01014252B,Corteco,-,FPM,-,http://ecatcorteco.com/web/corteco/en_GB/$catalogue/140/$product/01014252B_2048/datasheet.xhtml,-,-,https://ecatcorteco.com/pim/upload/cortecoImages/image/web/baumslx7_bmp.png
50x65x8,01030104B,Corteco,Left,FPM,-,http://ecatcorteco.com/web/corteco/en_GB/$catalogue/140/$product/01030104B_624/datasheet.xhtml,-,-,https://ecatcorteco.com/pim/upload/cortecoImages/image/web/baslrsx7_bmp.png
50x70x10,12000520B,Corteco,-,NBR,-,http://ecatcorteco.com/web/corteco/en_GB/$catalogue/140/$product/12000520B_2048/datasheet.xhtml,-,-,https://ecatcorteco.com/pim/upload/cortecoImages/image/bigweb/basl_bmp.png
50x70x6/10.25,12011238B,Corteco,Bidirectional,NBR,-,http://ecatcorteco.com/web/corteco/en_GB/$catalogue/140/$product/12011238B_656/datasheet.xhtml,-,-,https://drive.google.com/open?id=1eNj0-v7OUMSc-7KTXWjwm8qp6E29KeUC
50x70x9,01019463B,Corteco,-,FPM,-,http://ecatcorteco.com/web/corteco/en_GB/$catalogue/140/$product/01019463B_656/datasheet.xhtml,-,-,https://ecatcorteco.com/pim/upload/cortecoImages/image/web/b1bavidrw_bmp.png
50x70x9,01032639B,Corteco,-,NBR,-,http://ecatcorteco.com/web/corteco/en_GB/$catalogue/140/$product/01032639B_624/datasheet.xhtml,-,-,https://ecatcorteco.com/pim/upload/cortecoImages/image/web/baslx7_bmp.png
50x70x9,T1086,Musashi,Bidirectional,-,-,-,-,-,http://pubimg.4mycar.ru/images/full/01a0c298d44af3284d5ef1ebce7920f82409cb0002.jpeg
50x70x9,7201025,USSR,-,-,12011238B; 01019463B; 01032639B; 12000520B; 19019529B; T1086,-,-,-,-
50x70x9,7201191,USSR,-,-,12011238B; 01019463B; 01032639B; 12000520B; 19019529B; T1086,-,-,-,-
50x70x9.5/11.5,19019529B,Corteco,-,NBR,-,http://ecatcorteco.com/web/corteco/en_GB/$catalogue/140/$product/19019529B_656/datasheet.xhtml,-,-,https://ecatcorteco.com/pim/upload/cortecoImages/image/web/tb9y_bmp.png
51x58x3.5,5308159,USSR,-,Oil-resistant rubber,-,-,-,-,https://drive.google.com/open?id=1AB4SB04zsziMmcJ403p3sRDCpGf3aJIl
51x59.5x5,75008159,USSR,-,Oil-resistant rubber,-,-,-,-,-
51x59.5x5,IMZ-8.101-08159,USSR,-,Oil-resistant rubber,-,-,-,-,-
59.7x85x12,MT801190,USSR,-,-,01002867B; 12015893B; 12015894B; 12011193B,-,-,-,-
60x85x13,01002867B,Corteco,-,NBR,-,http://ecatcorteco.com/web/corteco/en_GB/$catalogue/140/$product/01002867B_2048/datasheet.xhtml,-,-,https://ecatcorteco.com/pim/upload/cortecoImages/image/web/b1sl_bmp.png
60x85x8,12011193B,Corteco,-,NBR,-,http://ecatcorteco.com/web/corteco/en_GB/$catalogue/140/$product/12011193B_2048/datasheet.xhtml,-,-,https://ecatcorteco.com/pim/upload/cortecoImages/image/web/basl_bmp.png
60x85x8,12015893B,Corteco,-,ACM,-,http://ecatcorteco.com/web/corteco/en_GB/$catalogue/140/$product/12015893B_3424/datasheet.xhtml,-,-,https://ecatcorteco.com/pim/upload/cortecoImages/image/web/basldrw_bmp.png
60x85x8,12015894B,Corteco,-,FPM,-,http://ecatcorteco.com/web/corteco/en_GB/$catalogue/140/$product/12015894B_2048/datasheet.xhtml,-,-,https://ecatcorteco.com/pim/upload/cortecoImages/image/web/basldrwvi_bmp.png
Felt seal,Felt seal,USSR,-,Felt,-,-,-,-,-
Felt seal 4 mm thickness,7206114,USSR,-,Felt,-,-,-,-,-
Felt seal 4.5 mm thickness,7204116,USSR,-,Felt,-,-,-,-,-
Felt seal 4.5 mm thickness,7204142,USSR,-,Felt,-,-,-,-,-
Felt seal 6 mm thickness,5308156,USSR,-,Felt,-,-,-,-,-
17x30x7,17x30x7,East Germany,-,-,01019951B; 01002180B,-,-,-,-
17x30x7,01019951B,Corteco,-,FPM,-,http://ecatcorteco.com/web/corteco/en_GB/$catalogue/140/$product/01019951B_2048/datasheet.xhtml,-,-,https://ecatcorteco.com/pim/upload/cortecoImages/image/web/babduo_bmp.png
17x30x7,01002180B,Corteco,-,NBR,-,http://ecatcorteco.com/web/corteco/en_GB/$catalogue/140/$product/01002180B_2048/datasheet.xhtml,-,-,https://ecatcorteco.com/pim/upload/cortecoImages/image/web/badsl_bmp.png
